caseid,casename,scat,selfirst,selend
1,"odoherty2016receiving","S3",1737.0,4720.0
2,"sargent2016evaluating","S3",4722.0,6544.0
3,"hackett2016therapeutic","S3",6546.0,8773.0
4,"radatz2016integrating","S3",8775.0,10269.0
5,"fox2015development","S3",10271.0,12246.0
6,"trebow2015outcomes","S3",12248.0,14009.0
7,"howell2015strengthening","S3",14011.0,16327.0
8,"ermentrout2014this","S3",16329.0,17957.0
9,"boal2014impact","S3",17959.0,20780.0
10,"boal2014barriers","S3",20782.0,22705.0
11,"kan2014can","S3",22707.0,24689.0
12,"levesque2012evaluation","S3",24691.0,27049.0
13,"portwood2011evaluation","S3",27051.0,29855.0
14,"potter2011bringing","S3",29857.0,31667.0
15,"feder2011need","S3",31669.0,33157.0
16,"enriquez2010development","S3",33159.0,35143.0
17,"welland2010culturally","S3",35145.0,37247.0
18,"price2009batterer","S3",37249.0,38956.0
19,"spangaro2009elusive","S3",38958.0,40873.0
20,"gillum2008benefits","S3",40875.0,42637.0
21,"roffman2008mens","S3",42639.0,44404.0
22,"saunders2008group","S3",44406.0,45817.0
23,"contrino2007compliance","S3",45819.0,48172.0
24,"muftic2007evaluation","S3",48174.0,50123.0
25,"hendricks2006recidivism","S3",50125.0,51808.0
26,"hovell2006evaluation","S3",51810.0,53440.0
27,"silvergleid2006batterer","S3",53442.0,55560.0
28,"foshee2004assessing","S3",55562.0,57701.0
29,"sullivan2002findings","S3",57703.0,39697.0
30,"gregory2002effects","S3",59699.0,61313.0
31,"oneill2001pragmatic","S3",61315.0,63457.0
32,"morgan2001pragmatic","S3",63459.0,64924.0
33,"thompson2000identification","S3",64926.0,67124.0
34,"loughlin2000emergency","S3",67126.0,69107.0
35,"gondolf1999comparison","S3",69109.0,71029.0
36,"chalk1998assessing","S3",71031.0,72215.0
37,"rumptz1991ecological","S3",72217.0,73937.0
38,"bennett2002standards","S3",73939.0,75437.0
39,"rosenbaum2002group","S3",75439.0,76616.0
40,"holtzworth-munroe2002standards","S3",76618.0,78225.0
41,"murphy2002toward","S3",78227.0,79351.0
