"","bibkey","code"
"1","rumptz1991ecological","QTDESC"
"2","gondolf1999comparison","QTDESC"
"3","gondolf1999comparison","X2D"
"4","gondolf1999comparison","LGR"
"5","thompson2000identification","QTDESC"
"6","thompson2000identification","X2D"
"7","thompson2000identification","TTEST"
"8","thompson2000identification","ANOVA"
"9","thompson2000identification","LNR"
"10","thompson2000identification","CORR"
"11","thompson2000identification","LGR"
"12","thompson2000identification","OR"
"13","sullivan2002findings","QTDESC"
"14","sullivan2002findings","TTEST"
"15","sullivan2002findings","X2D"
"16","sullivan2002findings","MANCOVA"
"17","sullivan2002findings","ANCOVA"
"18","sullivan2002findings","RMANOVA"
"19","sullivan2002findings","MLTV"
"20","gregory2002effects","CNTA"
"21","foshee2004assessing","OR"
"22","foshee2004assessing","CORR"
"23","foshee2004assessing","MLTV"
"24","foshee2004assessing","LGR"
"25","foshee2004assessing","MOD"
"26","hendricks2006recidivism","QTDESC"
"27","hendricks2006recidivism","ANOVA"
"28","hendricks2006recidivism","X2D"
"29","hendricks2006recidivism","TTEST"
"30","silvergleid2006batterer","GT-QL"
"31","silvergleid2006batterer","THMA"
"32","hovell2006evaluation","X2D"
"33","hovell2006evaluation","OR"
"34","hovell2006evaluation","QTDESC"
"35","contrino2007compliance","QTDESC"
"36","contrino2007compliance","CORR"
"37","contrino2007compliance","TTEST"
"38","muftic2007evaluation","QTDESC"
"39","muftic2007evaluation","X2D"
"40","muftic2007evaluation","TTEST"
"41","muftic2007evaluation","LGR"
"42","roffman2008mens","QTDESC"
"43","gillum2008benefits","CNTA"
"44","gillum2008benefits","GT-QL"
"45","gillum2008benefits","THMA"
"46","gillum2008benefits","XCASE"
"47","price2009batterer","QTDESC"
"48","feder2011need","NOTAPPLICABLE"
"49","ermentrout2014this","GT-QL"
"50","ermentrout2014this","THMA"
"51","boal2014impact","QTDESC"
"52","boal2014impact","MANOVA"
"53","boal2014impact","MLTV"
"54","boal2014impact","ANOVA"
"55","kan2014can","MLM"
"56","kan2014can","MLTV"
"57","kan2014can","MEM"
"58","kan2014can","MOD"
"59","boal2014impact","QTDESC"
"60","boal2014impact","MANOVA"
"61","boal2014impact","MLTV"
"62","boal2014impact","ANOVA"
"63","howell2015strengthening","QTDESC"
"64","howell2015strengthening","CORR"
"65","howell2015strengthening","MULTV"
"66","howell2015strengthening","LNR"
"67","sargent2016evaluating","QTDESC"
"68","sargent2016evaluating","TTEST"
"69","sargent2016evaluating","X2D"
"70","sargent2016evaluating","ANOVA"
"71","sargent2016evaluating","MOD"
"72","enriquez2010development","QTDESC"
"73","enriquez2010development","TTEST"
"74","enriquez2010development","THMA"
"75","welland2010culturally","CCA"
"76","welland2010culturally","THMA"
"77","welland2010culturally","QTDESC"
"78","potter2011bringing","QTDESC"
"79","potter2011bringing","TTEST"
"80","potter2011bringing","OLSRG"
"81","potter2011bringing","X2D"
"82","potter2011bringing","ANOVA"
"83","potter2011bringing","CNTA"
"84","portwood2011evaluation","QTDESC"
"85","portwood2011evaluation","MLM"
"86","portwood2011evaluation","ANOVA"
"87","portwood2011evaluation","PHCOMP"
"88","portwood2011evaluation","THMA"
